CODIGO_INST,COHORTE,SEXO,NIVEL_ED_PADRE,NIVEL_ED_MADRE,ANOS_REPITIO,ESTRATO_ACTUAL,INGRESOS,TIPO_PLANTEL,ZONA_LUGAR_RESIDENCIA,SISBEN,URBANA_SISBEN,RURAL_SISBEN,PMATN,PINGN,PCRIN,PCIUN,PNATN,VIVE_CON,SITUACION_PADRES,sexo,nivel_edu_padre,nivel_edu_madre,nivel_edu_max_padres,repitio_escolar,estrato,icfes_mat,icfes_ing,icfes_lec,icfes_soc,icfes_nat,icfes_total,tipo_plantel,zona_rural,log_ingresos,sisben_nivel,vive_con,situacion_padres,cohorte_encoded,prom_sem1,PROMEDIO_CARRERA,graduado,rendimiento_bajo
160004118,2018-1,M,5.0,10.0,N,2,6000000,G,R,S,3,0,62.0,64.0,58.0,63.0,67.0,1.0,1.0,1,4,8,8,0,2,62.0,64.0,58.0,63.0,67.0,314.0,0,1,15.607270193858982,3,1,1,1,3.5,3.8,1,0
160004119,2018-1,M,2.0,4.0,N,1,10000000,G,U,S,1,0,66.0,67.0,65.0,67.0,68.0,2.0,2.0,1,1,3,3,0,1,66.0,67.0,65.0,67.0,68.0,333.0,0,0,16.118095750958314,1,2,2,1,3.3,3.6,1,0
160004120,2018-1,M,4.0,5.0,N,1,17126052,G,U,S,2,0,64.0,56.0,59.0,73.0,65.0,2.0,1.0,1,3,4,4,0,1,64.0,56.0,59.0,73.0,65.0,317.0,0,0,16.656111429273285,2,2,1,1,3.5,,0,0
160004121,2018-1,M,14.0,12.0,N,3,7170321,P,U,N,0,0,72.0,73.0,64.0,74.0,100.0,1.0,1.0,1,12,10,12,0,3,72.0,73.0,64.0,74.0,100.0,383.0,1,0,15.785461120911899,0,1,1,1,4.0,3.5,0,0
160004122,2018-1,M,12.0,11.0,N,1,28641802,G,U,S,3,0,72.0,49.0,61.0,54.0,62.0,2.0,2.0,1,10,9,10,0,1,72.0,49.0,61.0,54.0,62.0,298.0,0,0,17.17037785198582,3,2,2,1,2.5,2.7,0,1
160004123,2018-1,M,,12.0,N,2,15600000,P,U,S,4,0,64.0,65.0,65.0,57.0,68.0,5.0,3.0,1,0,10,10,0,2,64.0,65.0,65.0,57.0,68.0,319.0,1,0,16.562781536322326,4,5,3,1,3.4,3.8,1,0
160004124,2018-1,M,,5.0,N,1,8400000,G,U,S,0,2,69.0,45.0,57.0,56.0,64.0,2.0,3.0,1,0,4,4,0,1,69.0,45.0,57.0,56.0,64.0,291.0,0,0,15.943742382861155,2,2,3,1,3.0,2.8,0,1
160004125,2018-1,M,,5.0,N,3,8400000,G,U,S,2,0,73.0,80.0,63.0,60.0,66.0,2.0,3.0,1,0,4,4,0,3,73.0,80.0,63.0,60.0,66.0,342.0,0,0,15.943742382861155,2,2,3,1,3.3,3.8,1,0
160004126,2018-1,M,8.0,5.0,N,1,9600000,G,U,S,1,0,69.0,56.0,58.0,65.0,65.0,1.0,1.0,1,6,4,6,0,1,69.0,56.0,58.0,65.0,65.0,313.0,0,0,16.077273760604726,1,1,1,1,3.2,3.7,1,0
160004127,2018-1,M,4.0,5.0,N,2,6000000,G,U,S,2,0,70.0,59.0,59.0,47.0,59.0,2.0,1.0,1,3,4,4,0,2,70.0,59.0,59.0,47.0,59.0,294.0,0,0,15.607270193858982,2,2,1,1,2.3,2.3,0,1
160004128,2018-1,M,2.0,8.0,N,3,41202000,G,U,S,1,0,64.0,73.0,64.0,58.0,64.0,1.0,2.0,1,1,6,6,0,3,64.0,73.0,64.0,58.0,64.0,323.0,0,0,17.533997381101535,1,1,2,1,3.2,2.8,0,1
160004129,2018-1,M,,14.0,N,2,38839133,P,U,N,0,0,62.0,68.0,65.0,63.0,67.0,1.0,,1,0,12,12,0,2,62.0,68.0,65.0,63.0,67.0,325.0,1,0,17.474938904537385,0,1,1,1,3.5,,0,0
160004130,2018-1,M,5.0,4.0,N,2,28572800,G,R,S,0,2,64.0,59.0,63.0,62.0,65.0,1.0,2.0,1,4,3,4,0,2,64.0,59.0,63.0,62.0,65.0,313.0,0,1,17.167965809303354,2,1,2,1,3.1,3.6,1,0
160004131,2018-1,M,8.0,8.0,N,3,12800000,G,U,N,0,0,65.0,64.0,64.0,67.0,63.0,1.0,2.0,1,6,6,6,0,3,65.0,64.0,64.0,67.0,63.0,323.0,0,0,16.36495580701484,0,1,2,1,3.5,,0,0
160004132,2018-1,M,5.0,5.0,N,2,8400000,G,U,S,3,0,70.0,75.0,60.0,66.0,61.0,1.0,1.0,1,4,4,4,0,2,70.0,75.0,60.0,66.0,61.0,332.0,0,0,15.943742382861155,3,1,1,1,3.8,3.7,1,0
160004133,2018-1,F,,11.0,N,2,62720415,P,U,N,0,0,66.0,74.0,67.0,68.0,75.0,2.0,3.0,0,0,9,9,0,2,66.0,74.0,67.0,68.0,75.0,350.0,1,0,17.954197566637493,0,2,3,1,1.1,1.1,0,1
